Company,Group Name,Site Name,Status,Battery Status,Door,RSSI Status,RSSI,Temp,Reading Date,Drain1 DC Amps,Drain2 DC Amps,Drain3 DC Amps,Rect2 DC Amps,Rect2 DC Volts,Rectifier AC Volts,Rectifier DC Amps,Rectifier DC Volts,AC In,CP/Relay Status,Export Key
Whitecap Resources Inc.,BENCH REGION,Angus Valley TANKS 02-08-12-18W3M,Alarm Exception,Ok,Disabled,Unused,,-14.5,2023-02-14T13:11:04.000Z,0.47,0.8,,,,,,6.93,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 10-09-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,1,2023-02-13T21:56:13.000Z,1.57,,,,,,14.26,9.79,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 15-35-11-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-1.5,2023-02-13T19:27:45.000Z,5.77,,,,,,5.74,10.2,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Angus Valley TANKS 02-08-12-18W3M,Clear Exception,Ok,Disabled,Unused,,6.5,2023-02-13T19:10:56.000Z,0.51,0.9,,,,,,6.79,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake West Oil 02-27-13-19W3M,Scheduled Reading,Ok,Disabled,Unused,,0,2023-02-13T18:39:38.000Z,,,,,,,3.81,13.63,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 13-09-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-0.5,2023-02-13T16:28:11.000Z,,,,,,,0.02,1.6,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 11-08-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-1,2023-02-13T15:30:45.000Z,,,,,,,11.21,12.72,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake North 02-26-13-19W3M,Overdue,Unused,Disabled,Unused,,,2023-02-13T07:00:21.875Z,,,,,,,,,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,2.5,2023-02-13T00:46:42.000Z,,,,,,,10.69,14.74,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake West Gas 06-04-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,4,2023-02-12T20:44:34.000Z,,,,,,,8.25,12.16,Not Used,NotUsed,
Whitecap Resources Inc.,Default Group,KAKWA 6-17-62-04W6,Scheduled Reading,Ok,Disabled,Unused,,3,2023-02-12T19:23:09.000Z,,,,,,,5.39,43.39,Normal,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 07-03-12-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-0.5,2023-02-12T16:46:13.000Z,9.29,,,,,,9.35,18.45,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,4,2023-02-12T16:45:13.000Z,,,,,,,10.68,14.72,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake North 10-26-13-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-4.5,2023-02-12T16:31:59.000Z,,,,,,,6.56,4.68,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 15-34-11-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-1.5,2023-02-12T15:30:33.000Z,16.42,,,,,,17.49,11.93,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake North 05-35-13-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-3.5,2023-02-12T15:03:36.000Z,,,,,,,37.57,29.28,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary 05-34-11-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-6.5,2023-02-12T15:02:15.000Z,,,,,,,14.68,15.69,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Butte Voluntary TANKS 05-34-11-19W3M,Scheduled Reading,Ok,Disabled,Unused,,-7,2023-02-12T14:47:26.000Z,,,,,,,0.01,0.78,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 05-21-11-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-3,2023-02-12T08:29:18.000Z,1.82,,,,,,6.23,10.43,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,2,2023-02-12T01:58:12.000Z,,,,,,,10.69,14.69,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bone Creek 14-05-10-19W3M,Scheduled Reading,Ok,Disabled,Unused,,10.5,2023-02-11T19:24:41.000Z,,,,,,,11.97,7.21,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Java 11-29-15-15W5M,Overdue,Unused,Disabled,Unused,,,2023-02-11T07:00:21.814Z,,,,,,,,,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Seward 04-18-15-15W3M,Scheduled Reading,Ok,Disabled,Unused,,1,2023-02-10T22:10:15.000Z,,,,,,,0.002,1.33,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 16-18-14-19W3M TANK,Scheduled Reading,Ok,Disabled,Unused,,2,2023-02-10T19:33:02.000Z,,,,,,,1.49,4.67,Not Used,NotUsed,
Whitecap Resources Inc.,Default Group,KAKWA 6-17-62-04W6,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-10T19:23:09.000Z,,,,,,,5.4,43.42,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Suffield 16-18-14-19W3M,Scheduled Reading,Ok,Disabled,Unused,,4,2023-02-10T18:58:12.000Z,,,,,,,23.05,38.72,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Gull Lake West Oil  10-28-13-19W3M TANK,Scheduled Reading,Ok,Disabled,Unused,,14,2023-02-10T17:54:11.000Z,,,,,,,4.34,14.93,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Java 05-28-15-15W3M,Scheduled Reading,Ok,Disabled,Unused,,0,2023-02-10T17:19:16.000Z,,,,,,,1.15,10.09,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 15-30-11-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-14,2023-02-09T16:18:59.000Z,,,,,,,0.01,1.22,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 06-08-11-18W3M - TANKS,Scheduled Reading,Ok,Disabled,Unused,,-8.5,2023-02-09T14:59:52.000Z,,,,,,,0.001,0.78,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bench 06-08-11-18W3M,Scheduled Reading,Ok,Disabled,Unused,,-8.5,2023-02-09T14:59:52.000Z,,,,0.001,0.78,,8.22,20.72,Not Used,NotUsed,
Whitecap Resources Inc.,Default Group,KAKWA 6-17-62-04W6,Scheduled Reading,Ok,Disabled,Unused,,,2023-02-08T19:23:09.000Z,,,,,,,5.37,43.29,Not Used,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Webb 01-01-15-17W3M,Power Up,Ok,Disabled,Unused,,2,2023-02-08T19:23:01.000Z,,,,,,,10.75,14.77,Not Used,NotUsed,
Whitecap Resources Inc.,GULL LAKE REGION,Premier 13-13-15-19 W3M,Scheduled Reading,Ok,Disabled,Unused,,-6.5,2023-02-08T17:48:13.000Z,,,,,,,10.64,30.92,Normal,NotUsed,
Whitecap Resources Inc.,SUCCESS REGION,Beverly West Oil 10-13-15-17W3M,Scheduled Reading,Ok,Disabled,Unused,,-2.5,2023-02-08T14:57:33.000Z,,,,,,,22.98,6.47,Not Used,NotUsed,
Whitecap Resources Inc.,BENCH REGION,Bone Creek 02-27-10-19W3M,Scheduled Reading,Ok,Disabled,Unused,,1.5,2023-02-07T14:33:26.000Z,,,,,,,9.02,9.73,Not Used,NotUsed,
